slug,title,journal,year,hasDOI,hasPDF,hasAuthor,doi,pdf,author
classification-of-south-american-camelid-and-goat-fiber-samples-based-on-fourier-transform,"Classification of South American Camelid and goat fiber samples based on fourier transform infrared spectroscopy and machine learning","SOUTH AMERICAN CAMELIDS",2024,true,true,true,"https://doi.org/10.1080/00405000.2024.2324209","/assets/images/investigacion/pdf/classification-of-south-american-camelid-and-goat-fiber-samples-based-on-fourier-transform.pdf","Max Quispe; Jesús D. Trigo; Luis Serrano-Arriezu; Jorge Huere; Edgar Quispe; Miguel Beruete"
fiber-density-and-hair-ducts-in-the-skin-of-alpacas-quantification-heritability-and-geneti,"Fiber density and hair ducts in the skin of alpacas: Quantification, heritability, and genetic correlations","SOUTH AMERICAN CAMELIDS",2023,true,true,true,"https://doi.org/10.1016/j.jssas.2023.07.003","/assets/images/investigacion/pdf/fiber-density-and-hair-ducts-in-the-skin-of-alpacas-quantification-heritability-and-geneti.pdf","Veronica Flores; Ali William Canaza-Cayo; Francisco Halley Rodríguez; Emma Yovana Quina; Max David Quispe; Edgar Carlos Quispe"
fiber-density-and-hair-ducts-in-the-skin-of-alpacas-quantification-heritability-and-geneti,"Fiber density and hair ducts in the skin of alpacas: Quantification,heritability, and genetic correlations","SOUTH AMERICAN CAMELIDS",2023,true,true,true,"https://doi.org/10.1016/j.jssas.2023.07.003","/assets/images/investigacion/pdf/fiber-density-and-hair-ducts-in-the-skin-of-alpacas-quantification-heritability-and-geneti.pdf","Veronica Flores; Ali William Canaza-Cayo; Francisco Halley Rodríguez; Emma Yovana Quina; Max David Quispe; Edgar Carlos Quispe"
comparison-of-projection-microscope-with-ofda100-in-alpaca-fibers-medullation,"Comparison of projection microscope with OFDA100 in alpaca fibers medullation","SOUTH AMERICAN CAMELIDS",2023,false,true,false,"","/assets/images/investigacion/pdf/comparison-of-projection-microscope-with-ofda100-in-alpaca-fibers-medullation.pdf",""
comparison-of-projection-microscope-with-ofda100-in-alpaca-fibers-medullation,"Comparison of projection microscope with OFDA100 in alpaca fibers medullation","SOUTH AMERICAN CAMELIDS",2023,false,true,false,"","/assets/images/investigacion/pdf/comparison-of-projection-microscope-with-ofda100-in-alpaca-fibers-medullation.pdf",""
development-and-validation-of-a-smart-system-for-medullation-and-diameter-assessment-of-al,"Development and validation of a smart system for medullation and diameter assessment of alpaca, llama and mohair fibres","SOUTH AMERICAN CAMELIDS",2023,true,true,true,"https://doi.org/10.1016/j.animal.2023.100800","/assets/images/investigacion/pdf/development-and-validation-of-a-smart-system-for-medullation-and-diameter-assessment-of-al.pdf","M.D. Quispe; C.C. Quispe; L. Serrano-Arriezu; J.D. Trigo; J.J. Bengoechea; E.C. Quispe"
densidad-de-fibras-y-densidad-de-conductos-pilosos-como-criterios-de-seleccion-para-mejora,"Densidad de fibras y densidad de conductos pilosos como criterios de selección para mejorar la calidad y el peso de vellones de alpacas","SOUTH AMERICAN CAMELIDS",2023,true,true,true,"https://doi.org/10.15381/rivep.v34i2.25102","/assets/images/investigacion/pdf/densidad-de-fibras-y-densidad-de-conductos-pilosos-como-criterios-de-seleccion-para-mejora.pdf","Edgar Carlos Quispe Peña; Rolando Rivera Quinto; Marco Espinoza Castillo; Verónica Flores Alca; Max Quispe Bonilla; Joaquín Pablo Mueller"
objective-measurement-of-objectionable-medullated-fibres-in-commercial-mohair-tops-sing-an,"OBJECTIVE MEASUREMENT OF «OBJECTIONABLE» MEDULLATED FIBRES IN COMMERCIAL MOHAIR TOPS SING AN OPTICAL FIBRE DIAMETER ANALYSER (OFDA) – AN INTRODUCTORY STUDY","SOUTH AMERICAN CAMELIDS",2023,false,true,false,"","/assets/images/investigacion/pdf/objective-measurement-of-objectionable-medullated-fibres-in-commercial-mohair-tops-sing-an.pdf",""
the-definitions-of-medullation-threshold-values-used-by-different-testing-methods-to-defin,"The Definitions of Medullation Threshold Values used by Different Testing Methods to Define an Objectionable Medullated Fibre in Merino Wool.","SOUTH AMERICAN CAMELIDS",2023,false,true,false,"","/assets/images/investigacion/pdf/the-definitions-of-medullation-threshold-values-used-by-different-testing-methods-to-defin.pdf",""
artificial-intelligence-as-a-potential-tool-for-micro-histological-analysis-of-herbivore-d,"Artificial intelligence as a potential tool for micro‐histological analysis of herbivore diets","SOUTH AMERICAN CAMELIDS",2022,true,true,true,"https://doi.org/10.1007/s10344-022-01640-4","/assets/images/investigacion/pdf/artificial-intelligence-as-a-potential-tool-for-micro-histological-analysis-of-herbivore-d.pdf","Jordi Bartolomé Filella; Christian Carlos Quispe Bonilla; Edgar Quispe; Fredrik Dalerum"
efecto-de-raza-momento-del-dia-y-caracteristicas-del-pelo-sobre-la-frecuencia-cardiaca-y-r,"Efecto de raza, momento del día y características del pelo sobre la frecuencia cardiaca y respiratoria, y temperatura rectal y de piel en vacunos en zona de confort","SOUTH AMERICAN CAMELIDS",2022,true,true,true,"https://doi.org/10.15381/rivep.v33i4.21804","/assets/images/investigacion/pdf/efecto-de-raza-momento-del-dia-y-caracteristicas-del-pelo-sobre-la-frecuencia-cardiaca-y-r.pdf","Adolfo Guillermo Poma Gutiérrez; René Antonio Hinojosa Benavides; Edgar Carlos Quispe Peña"
variaciones-de-la-densidad-diametro-y-crecimiento-de-fibras-expansion-de-piel-y-peso-vivo-,"Variaciones de la densidad, diámetro y crecimiento de fibras, expansión de piel y peso vivo desde el nacimiento al destete en corderos Junín","SOUTH AMERICAN CAMELIDS",2022,true,true,true,"https://doi.org/10.21071/az.v71i275.5681","/assets/images/investigacion/pdf/variaciones-de-la-densidad-diametro-y-crecimiento-de-fibras-expansion-de-piel-y-peso-vivo.pdf","R. Quispe; W.H. Grabiel; J. Aliaga; M.D. Quispe; E.C. Quispe"
estimacion-de-densidad-de-fibra-en-alpacas-del-centro-de-desarrollo-alpaquero-toccra-cedat,"ESTIMACIÓN DE DENSIDAD DE FIBRA EN ALPACAS DEL CENTRO DE DESARROLLO ALPAQUERO TOCCRA CEDAT – DESCO DEL DEPARTAMENTO DE AREQUIPA","SOUTH AMERICAN CAMELIDS",2022,true,true,true,"https://doi.org/10.26788/ri.v11i2.3635","/assets/images/investigacion/pdf/estimacion-de-densidad-de-fibra-en-alpacas-del-centro-de-desarrollo-alpaquero-toccra-cedat.pdf","VERONICA FLORES ALCA; Ali William Canaza Cayo; Francisco Halley Rodríguez Huanca; Edgar  Carlos Quispe Peña; Julio Málaga Apaza"
relationships-between-the-incidence-and-degree-of-medullation-with-the-diameter-of-alpaca-,"Relationships between the incidence and degree of medullation with the diameter of alpaca fibers evaluated using a novel device based on artificial intelligence","SOUTH AMERICAN CAMELIDS",2022,true,true,true,"https://doi.org/10.1080/00405000.2022.2105110","/assets/images/investigacion/pdf/relationships-between-the-incidence-and-degree-of-medullation-with-the-diameter-of-alpaca.pdf","Edgar Quispe; Max Quispe; Carlos Quispe; Adolfo Poma; Rufino Paucar-Chanca; Alan Cruz; Bruce A. McGregor"
application-of-artificial-intelligence-and-digital-images-analysis-to-automatically-determ,"Application of artificial intelligence and digital images analysis to automatically determine the percentage of fiber medullation in alpaca fleece samples","SOUTH AMERICAN CAMELIDS",2022,true,true,true,"https://doi.org/10.1016/j.smallrumres.2022.106724","/assets/images/investigacion/pdf/application-of-artificial-intelligence-and-digital-images-analysis-to-automatically-determ.pdf","Max Quispe Bonilla; Luis Serrano-Arriezu; Jesús Daniel Trigo; Christian Quispe Bonilla; Adolfo Poma Gutiérrez; Edgar Quispe Peña"
group-structure-in-vicuna-vicugna-vicugna-mensalis-subject-to-chaku-management-in-central-,"Group structure in vicuña (Vicugna vicugna mensalis) subject to chaku management in central Andes, Peru","SOUTH AMERICAN CAMELIDS",2022,true,true,true,"https://doi.org/10.1016/j.smallrumres.2022.106661","/assets/images/investigacion/pdf/group-structure-in-vicuna-vicugna-vicugna-mensalis-subject-to-chaku-management-in-central.pdf","Edgar Quispe; Omar Siguas; Marco Espinoza; Wilmer Arana; José Contreras; Jorge Cassinello; Jordi Bartolomé"
calibration-and-validation-of-the-mini-fiber-ec-image-analysis-instrument-mean-fiber-diame,"Calibration and validation of the Mini-fiber EC image analysis instrument mean fiber diameter through direct or primary measurements","SOUTH AMERICAN CAMELIDS",2021,true,true,true,"https://doi.org/10.15406/jteft.2021.07.00290","/assets/images/investigacion/pdf/calibration-and-validation-of-the-mini-fiber-ec-image-analysis-instrument-mean-fiber-diame.pdf","Eduardo Frank; EN Hick; MVH Castillo; Gaut MC; RH Mamani-Cato"
evaluacion-de-la-medulacion-de-fibras-de-lanas-y-fibras-especiales-de-algunas-especies-de-,"Evaluación de la medulación de fibras de lanas y fibras especiales de algunas especies de animales","SOUTH AMERICAN CAMELIDS",2021,true,true,true,"https://doi.org/10.15381/rivep.v32i5.17639","/assets/images/investigacion/pdf/evaluacion-de-la-medulacion-de-fibras-de-lanas-y-fibras-especiales-de-algunas-especies-de.pdf","Giancarlo Berolatti Obando; Lusmenia Ruiz Mejía; Flor Alicia Cabrera Bustamante; Jorge Aliaga Gutiérrez; Max David Quispe Bonilla; Edgar Carlos Quispe Peña"
potential-for-a-machine-learning-method-to-be-applied-to-the-study-of-herbivore-diets,"Potential for a machine learning method to be applied to the study of herbivore diets","SOUTH AMERICAN CAMELIDS",2021,true,true,false,"https://doi.org/10.1021/acs.jpca.4c04048.s001","/assets/images/investigacion/pdf/potential-for-a-machine-learning-method-to-be-applied-to-the-study-of-herbivore-diets.pdf",""
